Home_Past3_Form,Home_Past5_Form,Home_Streak,Home_Current_Standing,Home_Past_Standing,Home_Goals_Per_Game,Home_Shots_Per_Game,Home_SOT_Per_Game,Home_Corners_Per_Game,Home_Fouls_Per_Game,Home_Reds_Last2,Home_Yellows_Last2,Home_Goals_Against_Per_Game,Home_Shots_Against_Per_Game,Home_SOT_Against_Per_Game,Home_Corners_Against_Per_Game,Home_Fouls_Against_Per_Game,Away_Past3_Form,Away_Past5_Form,Away_Streak,Away_Current_Standing,Away_Past_Standing,Away_Goals_Per_Game,Away_Shots_Per_Game,Away_SOT_Per_Game,Away_Corners_Per_Game,Away_Fouls_Per_Game,Away_Goals_Against_Per_Game,Away_Shots_Against_Per_Game,Away_SOT_Against_Per_Game,Away_Corners_Against_Per_Game,Away_Fouls_Against_Per_Game,Away_Reds_Last2,Away_Yellows_Last2,Home_H2H_Past3,Home_H2H_Past5,Away_H2H_Past3,Away_H2H_Past5,Match_Result
1,1,0,7,6,1.28,11.0,6.0,5.84,13.52,0,0,0.76,13.88,7.84,6.72,11.6,-1,-3,-1,19,21,1.0,9.88,5.48,4.68,11.12,2.0,15.08,8.84,5.48,11.76,0,2,0,0,0,0,1
0,2,1,12,15,1.0,11.54,6.08,4.81,14.0,1,4,1.65,12.35,7.31,5.23,11.88,-1,-1,0,18,13,1.16,12.44,6.24,4.96,13.4,1.84,14.6,8.44,7.4,11.44,0,3,1,1,-1,-1,1
2,0,1,11,7,1.15,11.0,6.04,5.0,11.0,0,1,1.08,11.27,5.65,5.5,11.85,0,-1,-1,9,21,0.96,9.56,5.64,4.88,9.76,1.04,15.96,8.52,7.04,13.28,0,7,-1,-1,1,1,1
0,0,0,5,10,1.92,12.04,6.48,6.48,10.96,0,3,1.32,11.24,5.68,5.48,12.68,1,2,-1,6,2,1.65,13.42,7.81,7.31,12.23,1.04,8.54,4.92,3.81,12.73,1,5,0,0,0,0,0
0,-2,0,15,11,1.04,13.32,6.96,4.44,12.6,0,2,1.96,13.28,7.36,6.16,12.2,-1,-1,-1,7,8,1.73,16.15,9.31,6.12,11.23,1.0,11.96,6.5,4.88,13.19,0,1,-1,-1,1,1,-1
0,2,-1,2,1,2.33,16.7,9.44,8.63,11.15,1,2,0.89,9.78,5.33,3.0,11.63,1,1,2,13,9,1.35,12.65,7.31,4.92,12.58,1.54,14.65,8.12,6.96,13.12,0,2,1,1,-1,-1,1
-1,-2,-2,10,21,0.96,9.54,5.65,4.73,10.0,0,3,1.08,15.77,8.42,6.88,13.12,-1,-2,-1,15,11,1.0,13.12,6.96,4.38,12.77,2.0,13.27,7.54,6.0,12.23,0,3,1,1,-1,-1,1
-2,-3,-1,18,13,1.12,12.35,6.27,4.88,13.35,0,2,1.88,14.5,8.38,7.42,11.58,-1,-1,-1,17,21,0.81,10.27,5.73,5.27,12.81,1.69,12.46,7.38,5.42,11.27,0,2,-1,-1,1,1,1
-1,-3,-2,19,21,1.04,10.0,5.65,4.69,11.15,0,3,2.12,15.08,8.81,5.62,11.5,-2,-4,-1,20,14,0.81,12.92,7.08,5.31,13.73,1.69,12.08,6.23,7.12,11.77,1,5,-1,-1,1,1,-1
1,2,1,1,3,2.33,18.74,10.07,8.15,11.19,0,3,0.81,8.19,4.22,4.3,12.33,1,1,0,4,10,1.85,11.73,6.27,6.54,10.81,1.27,11.04,5.54,5.46,12.77,0,4,-1,-1,1,1,-1
